elapsed_hours,avg_tick_ms,p95_tick_ms,max_tick_ms,train_rate_per_hr,step_ms,gpu_ms,trainer_queue_wait_ms,tick_samples
0.9780555555555556,1478.7983333333332,1980.49,2442.2,7657671.0,1433.9,1121.1,0.01,120
0.995,1547.0741803278688,2115.14,2629.39,7644866.0,1432.4,1120.0,0.01,122
1.0119444444444445,1522.790254237288,2097.2,2770.45,7143145.0,1431.0,1118.8,0.01,118
1.028888888888889,1360.9711666666667,1721.91,2078.01,7385341.0,1429.9,1118.1,0.01,120
1.0458333333333334,1715.350789473684,2394.43,3134.59,6657848.0,1433.3,1120.8,0.01,114
1.0627777777777778,1402.9117213114755,1810.53,2199.26,7654272.0,1428.0,1116.8,0.01,122
1.0797222222222222,1496.62625,2025.36,2614.93,7417161.0,1427.8,1116.4,0.01,120
1.0966666666666667,1518.6714166666668,2021.61,2473.52,7704757.0,1427.3,1116.1,0.01,120
1.1133333333333333,1503.25,1930.77,2389.73,7165328.0,1426.1,1115.2,0.01,119
1.1302777777777777,1602.4471074380165,2141.73,2505.73,7131360.0,1425.9,1114.8,0.01,121
1.1472222222222221,1632.5729411764705,2018.31,2575.03,7150601.0,1424.9,1114.0,0.01,119
1.1641666666666666,1535.6545,1976.53,2406.82,8157231.0,1424.4,1113.7,0.01,120
1.181111111111111,1712.1127731092438,2313.35,2757.82,7399437.0,1424.4,1113.8,0.01,119
1.1977777777777778,1734.6785123966943,2195.75,2632.65,7424001.0,1424.2,1113.6,0.01,121
1.2144444444444444,1684.5079166666667,2205.32,2726.59,7137125.0,1423.8,1113.3,0.01,120
1.2313888888888889,1713.6328333333333,2254.25,2857.61,7407851.0,1423.3,1113.0,0.01,120
1.2483333333333333,1721.7240495867768,2271.11,2581.35,7174610.0,1423.1,1112.7,0.01,121
1.2652777777777777,1754.0246666666667,2253.16,2473.53,6916225.0,1423.4,1112.5,0.01,120
1.2822222222222222,1938.5704132231403,2555.66,2824.16,6922742.0,1423.0,1112.4,0.01,121
1.2991666666666666,2057.485593220339,2711.9,3139.93,6417837.0,1426.3,1115.0,0.01,118
1.316111111111111,1870.4110169491526,2434.67,3086.72,6898075.0,1426.1,1114.8,0.01,118
1.3327777777777778,1915.1897478991596,2587.29,2963.65,6915285.0,1421.3,1111.2,0.01,119
1.3494444444444444,1867.760909090909,2608.69,2821.76,6953211.0,1421.0,1111.1,0.01,121
1.3663888888888889,1969.5484873949579,2441.04,3256.64,6638525.0,1420.6,1111.0,0.01,119
