cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,445.3,2026-07-11T04:07:36,392.1,769.58,3.4398,4.1562,3.2344,0.8125,0.8813,0.1187,0.1025,2.188,0.2874,0.3075;0.3108;0.3103,14.5,18.125,20260711-nt8y15x15stem-std-replay-step1000.safetensors,
2000,2000,0,890.1,2026-07-11T04:15:01,391.8,879.16,3.1394,4.0312,3.125,0.8086,0.9155,0.0845,0.1406,1.852,0.2935,0.3081;0.3154;0.3149,15.035,20.625,20260711-nt8y15x15stem-std-replay-step2000.safetensors,
3000,3000,0,1334.9,2026-07-11T04:22:26,392.3,932.69,3.0992,3.9219,3.0312,0.8203,0.9331,0.0669,0.168,2.141,0.2963,0.3097;0.3169;0.3162,15.497,21.125,20260711-nt8y15x15stem-std-replay-step3000.safetensors,
4000,4000,0,1781.0,2026-07-11T04:29:52,391.7,937.63,3.0234,3.8594,2.9844,0.8086,0.9402,0.0598,0.1943,1.883,0.2985,0.3118;0.3180;0.3165,15.616,20.875,20260711-nt8y15x15stem-std-replay-step4000.safetensors,
5000,5000,0,2226.2,2026-07-11T04:37:17,391.5,961.12,2.9768,3.8281,2.9844,0.8008,0.9495,0.0505,0.2158,1.727,0.3011,0.3141;0.3190;0.3173,15.561,21.5,20260711-nt8y15x15stem-std-replay-step5000.safetensors,
6000,6000,0,2672.5,2026-07-11T04:44:43,392.0,983.33,2.9268,3.8281,2.9531,0.8242,0.9521,0.0479,0.2383,1.664,0.3028,0.3162;0.3197;0.3173,15.653,21.375,20260711-nt8y15x15stem-std-replay-step6000.safetensors,
