cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,473.0,2026-07-11T03:19:03,426.7,783.7,3.5369,4.1875,3.25,0.8125,0.873,0.127,0.1221,1.43,0.3134,0.3234;0.3225;0.3237,14.188,18.25,20260711-nt8y3x3stem-seed2-std-replay-step1000.safetensors,
2000,2000,0,946.6,2026-07-11T03:26:57,427.7,831.44,3.2807,4.0,3.1094,0.8125,0.9087,0.0913,0.1436,1.508,0.3179,0.3255;0.3253;0.3258,15.011,20.125,20260711-nt8y3x3stem-seed2-std-replay-step2000.safetensors,
3000,3000,0,1419.8,2026-07-11T03:34:50,428.6,884.24,3.1267,3.9062,3.0312,0.8125,0.9331,0.0669,0.1641,1.594,0.3198,0.3265;0.3265;0.3265,15.447,21.125,20260711-nt8y3x3stem-seed2-std-replay-step3000.safetensors,
4000,4000,0,1894.3,2026-07-11T03:42:45,426.2,913.9,3.0537,3.9219,3.0469,0.8125,0.9429,0.0571,0.1807,1.812,0.3206,0.3270;0.3270;0.3268,15.833,22.125,20260711-nt8y3x3stem-seed2-std-replay-step4000.safetensors,
5000,5000,0,2367.4,2026-07-11T03:50:38,427.8,936.53,2.986,3.8594,2.9844,0.8164,0.9482,0.0518,0.1943,1.445,0.3213,0.3272;0.3275;0.3270,15.812,21.375,20260711-nt8y3x3stem-seed2-std-replay-step5000.safetensors,
