engine	model_file	model_id	params	arch_or_cmd
Sloppy	(built-in engine)			sloppy
Stockfish	(built-in engine)			stockfish
DCM Exp2 - full10ply200 + 7x7	trainer.safetensors	20260607-4-2Gd1-12	9511988	v4 . in full10ply200(200) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 9,511,988 params
DCM Exp1 - 467k-step basic30 + 7x7	trainer.safetensors	20260601-11-bzw3-32	8445748	v4 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,445,748 params
DCM Early 2 - 373k-step 8-block v3 May25-29	trainer.dcmmodel	20260525-1-sMe9-33	2483667	v3 . in basic30(30) -> stem 128 (3x3) . 8x[3x3+3x3 @128, SE/4, relu/post, activation_gated, no-ReZero, drop*1] . act relu . policy simple_conv(4864) . value WDL(1->FC64) . float32 . 2,483,667 params
DCM v5	20260628-v5_5block_7x7_lnout-wd2.5e4-m93-replay-latest.safetensors	20260629-1-Uf4p	8447028	v5 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,447,028 params
DCM - Qeu8e5	20260704-Qeu8e5-replay-step14000.safetensors	20260708-6-sFzi	3929393	v5 . in basic30(30) -> stem 64 (7x7) . 2x[15x15+15x15 @64, SE+/4, relu/pre, clean_add, ReZero(0.5·tanh≤0.5), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC64) . bfloat16 . 3,929,393 params
DCM 20260626-2-q2Bb-manual (latest)	20260626-202904-20260626-2-q2Bb-manual-replay-latest.safetensors	20260626-4-Juoc	8445748	v4 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,445,748 params
DCM q2Bb-clamp (latest)	20260626-q2Bb-clamp-replay-latest.safetensors	20260627-2-eUsW	8445748	v4 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,445,748 params
DCM q2Bb-tanh (latest)	20260626-q2Bb-tanh-replay-latest.safetensors	20260627-3-Jbl3	8445748	v4 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,445,748 params
DCM q2Bb-tanhSqrtN (latest)	20260626-q2Bb-tanhSqrtN-replay-latest.safetensors	20260627-4-Pa83	8445748	v4 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,445,748 params
DCM freshNet (latest)	20260627-freshNet-replay-latest.safetensors	20260627-5-I78x	8445748	v4 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,445,748 params
DCM v3_8block_3x3 (latest)	20260627-v3_8block_3x3-replay-latest.safetensors	20260627-7-mUF5	2483667	v3 . in basic30(30) -> stem 128 (3x3) . 8x[3x3+3x3 @128, SE/4, relu/post, activation_gated, no-ReZero, drop*1] . act relu . policy simple_conv(4864) . value WDL(1->FC64) . float32 . 2,483,667 params
DCM v5_5block_7x7_lnout (latest)	20260628-v5_5block_7x7_lnout-replay-latest.safetensors	20260628-2-a5fc	8447028	v5 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,447,028 params
DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)	20260628-v5_5block_7x7_lnout-wd2.5e4-m93-replay-latest.safetensors	20260629-1-Uf4p	8447028	v5 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,447,028 params
DCM v5_5block_7x7_lnout-wd5e4 (latest)	20260628-v5_5block_7x7_lnout-wd5e4-replay-latest.safetensors	20260628-9-OdUt	8447028	v5 . in basic30(30) -> stem 128 (7x7) . 5x[7x7+7x7 @128, SE+/4, relu/pre, clean_add, ReZero(0.447·tanh≤0.447), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 8,447,028 params
DCM mini1b-Coxw (latest)	20260629-mini1b-Coxw-replay-latest.safetensors	20260629-6-yqMI	1864336	v5 . in basic30(30) -> stem 128 (5x5) . 1x[7x7+7x7 @128, no-SE, relu/pre, clean_add, ReZero(1·tanh≤1), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 1,864,336 params
DCM mini2b-3MIV (latest)	20260629-mini2b-3MIV-replay-latest.safetensors	20260629-4-y5u7	2252689	v5 . in basic30(30) -> stem 128 (7x7) . 1x[7x7+7x7 @128, no-SE, relu/pre, clean_add, ReZero(0.5·tanh≤0.5), out:layer_norm, drop*1] -> 1x[3x3+3x3 @128, no-SE, relu/pre, clean_add, ReZero(0.5·tanh≤0.5), out:layer_norm, drop*1] . act relu . policy intermediate_conv(4864) . value WDL(16->FC128) . bfloat16 . 2,252,689 params
