Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   49,  20,  31),  59.0 :   +46.4,   7.1,  100.0
    DCM nT8Y-resume2 (latest)                           :    100 (   48,  23,  29),  59.5 :   +54.8,   7.1,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   43,  22,  35),  54.0 :   +62.3,   6.2,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   48,  23,  29),  59.5 :   +62.8,   7.1,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   61,  22,  17),  72.0 :   +89.0,   7.0,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   46,  28,  26),  60.0 :   +99.0,   8.0,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   57,  21,  22),  67.5 :  +114.1,   7.0,  100.0
    DCM Qeu8e (latest)                                  :    100 (   60,  29,  11),  74.5 :  +179.8,   6.5,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   58,  32,  10),  74.0 :  +185.8,   7.0,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   63,  22,  15),  74.0 :  +187.8,   6.8,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   68,  23,   9),  79.5 :  +227.5,   6.9,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   66,  23,  11),  77.5 :  +233.2,   6.6,  100.0
    DCM mini-YkKk (latest)                              :    100 (   64,  32,   4),  80.0 :  +256.4,   7.2,  100.0
    DCM T97X (latest)                                   :    100 (   84,  15,   1),  91.5 :  +380.2,   7.8,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   83,  17,   0),  91.5 :  +383.6,   6.9,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   86,  14,   0),  93.0 :  +405.9,   7.1,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   80,  19,   1),  89.5 :  +417.7,   6.6,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   85,  15,   0),  92.5 :  +428.7,   8.5,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   78,  22,   0),  89.0 :  +429.1,   7.4,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   74,  26,   0),  87.0 :  +431.3,   7.2,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   85,  15,   0),  92.5 :  +494.2,   6.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   83,  17,   0),  91.5 :  +495.6,   7.9,  100.0
    DCM freshNet (latest)                               :    100 (   89,  11,   0),  94.5 :  +495.6,   7.7,  100.0

 9) DCM Qeu8e3 (latest)                           535.5 :   3600 (+1946,=749,-905),  64.5 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   0, 100),   0.0 :  -784.5,  27.1,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   32,  17,  51),  40.5 :   -70.4,   7.4,    0.0
    DCM v5                                              :    100 (   29,  22,  49),  40.0 :   -68.2,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   32,  18,  50),  41.0 :   -52.9,   6.3,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   33,  20,  47),  43.0 :   -41.4,   6.9,    0.0
    DCM Qeu8 (latest)                                   :    100 (   37,  19,  44),  46.5 :   -31.6,   6.8,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   37,  21,  42),  47.5 :   -26.3,   6.9,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   36,  22,  42),  47.0 :    +1.3,   6.7,   57.5
    DCM nT8Y-resume4 (latest)                           :    100 (   40,  25,  35),  52.5 :    +3.6,   7.2,   68.8
    DCM - Qeu8e5                                        :    100 (   38,  22,  40),  49.0 :    +7.5,   6.2,   88.6
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   46,  20,  34),  56.0 :   +10.0,   6.8,   93.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   42,  17,  41),  50.5 :   +10.5,   6.3,   95.1
    DCM Qeu8e4 (latest)                                 :    100 (   44,  20,  36),  54.0 :   +17.1,   6.5,   99.6
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   49,  18,  33),  58.0 :   +20.1,   6.7,   99.9
    DCM nT8Y-resume2 (latest)                           :    100 (   58,  15,  27),  65.5 :   +28.5,   6.7,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   34,  31,  35),  49.5 :   +36.0,   6.5,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   41,  24,  35),  53.0 :   +36.5,   7.4,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   49,  25,  26),  61.5 :   +62.6,   7.2,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   45,  26,  29),  58.0 :   +72.7,   6.6,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   51,  25,  24),  63.5 :   +87.8,   6.1,  100.0
    DCM Qeu8e (latest)                                  :    100 (   52,  35,  13),  69.5 :  +153.5,   6.8,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   53,  25,  22),  65.5 :  +159.5,   6.6,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   59,  23,  18),  70.5 :  +161.5,   6.2,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   66,  24,  10),  78.0 :  +201.2,   6.6,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   60,  34,   6),  77.0 :  +206.9,   6.0,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  29,  14),  71.5 :  +230.1,   6.7,  100.0
    DCM T97X (latest)                                   :    100 (   78,  22,   0),  89.0 :  +353.9,   6.5,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   81,  19,   0),  90.5 :  +357.3,   5.9,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   83,  16,   1),  91.0 :  +379.5,   6.6,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   83,  16,   1),  91.0 :  +391.3,   6.6,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   84,  16,   0),  92.0 :  +402.4,   8.5,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   71,  29,   0),  85.5 :  +402.8,   6.7,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   79,  21,   0),  89.5 :  +405.0,   6.4,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   89,  11,   0),  94.5 :  +467.9,   7.1,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   85,  15,   0),  92.5 :  +469.3,   7.5,  100.0
    DCM freshNet (latest)                               :    100 (   93,   7,   0),  96.5 :  +469.3,   7.1,  100.0

10) DCM mini2b-3MIV-resume (latest)               534.3 :   3600 (+1918,=795,-887),  64.3 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,   1,  98),   1.5 :  -785.7,  27.6,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   33,  21,  46),  43.5 :   -71.6,   7.6,    0.0
    DCM v5                                              :    100 (   35,  19,  46),  44.5 :   -69.5,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   36,  28,  36),  50.0 :   -54.2,   7.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   32,  25,  43),  44.5 :   -42.7,   7.3,    0.0
    DCM Qeu8 (latest)                                   :    100 (   33,  22,  45),  44.0 :   -32.8,   6.8,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   41,  17,  42),  49.5 :   -27.6,   7.2,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   42,  22,  36),  53.0 :    -1.3,   6.7,   42.5
    DCM nT8Y-resume4 (latest)                           :    100 (   49,  15,  36),  56.5 :    +2.3,   6.9,   62.9
    DCM - Qeu8e5                                        :    100 (   40,  21,  39),  50.5 :    +6.2,   6.8,   82.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   33,  16,  51),  41.0 :    +8.7,   6.1,   92.2
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   41,  21,  38),  51.5 :    +9.2,   6.6,   92.0
    DCM Qeu8e4 (latest)                                 :    100 (   38,  26,  36),  51.0 :   +15.9,   7.6,   98.2
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   38,  32,  30),  54.0 :   +18.9,   6.9,   99.7
    DCM nT8Y-resume2 (latest)                           :    100 (   56,  20,  24),  66.0 :   +27.2,   7.0,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   36,  26,  38),  49.0 :   +34.7,   6.5,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   39,  20,  41),  49.0 :   +35.2,   6.2,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   39,  32,  29),  55.0 :   +61.4,   7.3,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   44,  30,  26),  59.0 :   +71.4,   7.4,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   46,  24,  30),  58.0 :   +86.6,   7.2,  100.0
    DCM Qeu8e (latest)                                  :    100 (   61,  20,  19),  71.0 :  +152.3,   7.0,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   61,  25,  14),  73.5 :  +158.2,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   53,  30,  17),  68.0 :  +160.2,   6.9,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   66,  22,  12),  77.0 :  +199.9,   6.2,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   66,  26,   8),  79.0 :  +205.6,   7.3,  100.0
    DCM mini-YkKk (latest)                              :    100 (   64,  29,   7),  78.5 :  +228.8,   7.7,  100.0
    DCM T97X (latest)                                   :    100 (   85,  15,   0),  92.5 :  +352.7,   7.2,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   79,  21,   0),  89.5 :  +356.0,   6.0,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   77,  23,   0),  88.5 :  +378.3,   7.4,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   81,  19,   0),  90.5 :  +390.1,   7.2,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   74,  26,   0),  87.0 :  +401.2,   8.6,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   76,  24,   0),  88.0 :  +401.5,   7.2,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   77,  23,   0),  88.5 :  +403.7,   7.7,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   86,  14,   0),  93.0 :  +466.6,   7.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   78,  22,   0),  89.0 :  +468.0,   7.8,  100.0
    DCM freshNet (latest)                               :    100 (   82,  18,   0),  91.0 :  +468.0,   7.6,  100.0

11) DCM nT8Y-resume4 (latest)                     532.0 :   3600 (+1947,=719,-934),  64.1 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   0, 100),   0.0 :  -788.0,  28.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   26,  17,  57),  34.5 :   -73.9,   8.2,    0.0
    DCM v5                                              :    100 (   27,  12,  61),  33.0 :   -71.8,   7.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   29,  22,  49),  40.0 :   -56.5,   7.1,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   30,  16,  54),  38.0 :   -45.0,   6.4,    0.0
    DCM Qeu8 (latest)                                   :    100 (   35,  19,  46),  44.5 :   -35.1,   6.3,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   37,  23,  40),  48.5 :   -29.9,   6.7,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   35,  25,  40),  47.5 :    -3.6,   7.2,   31.2
    DCM mini2b-3MIV-resume (latest)                     :    100 (   36,  15,  49),  43.5 :    -2.3,   6.9,   37.1
    DCM - Qeu8e5                                        :    100 (   41,  18,  41),  50.0 :    +3.9,   6.9,   71.5
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   35,  23,  42),  46.5 :    +6.4,   6.1,   85.5
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   34,  18,  48),  43.0 :    +6.9,   6.7,   85.1
    DCM Qeu8e4 (latest)                                 :    100 (   42,  22,  36),  53.0 :   +13.6,   6.8,   97.7
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   29,  26,  45),  42.0 :   +16.6,   6.9,   99.2
    DCM nT8Y-resume2 (latest)                           :    100 (   47,  22,  31),  58.0 :   +24.9,   7.1,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   41,  23,  36),  52.5 :   +32.4,   6.4,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   47,  27,  26),  60.5 :   +32.9,   6.6,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   49,  23,  28),  60.5 :   +59.1,   7.1,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   54,  28,  18),  68.0 :   +69.2,   6.9,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   56,  26,  18),  69.0 :   +84.3,   7.1,  100.0
    DCM Qeu8e (latest)                                  :    100 (   59,  26,  15),  72.0 :  +150.0,   7.3,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   61,  24,  15),  73.0 :  +156.0,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   61,  27,  12),  74.5 :  +157.9,   6.7,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   61,  32,   7),  77.0 :  +197.6,   6.4,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   68,  22,  10),  79.0 :  +203.4,   6.8,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  35,   8),  74.5 :  +226.6,   6.5,  100.0
    DCM T97X (latest)                                   :    100 (   86,  12,   2),  92.0 :  +350.4,   7.1,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   86,  14,   0),  93.0 :  +353.8,   7.3,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   89,  11,   0),  94.5 :  +376.0,   7.1,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   80,  20,   0),  90.0 :  +387.8,   6.3,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   82,  18,   0),  91.0 :  +398.9,   9.0,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   83,  17,   0),  91.5 :  +399.2,   7.3,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   81,  19,   0),  90.5 :  +401.4,   7.7,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   86,  14,   0),  93.0 :  +464.4,   7.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   90,  10,   0),  95.0 :  +465.7,   7.7,  100.0
    DCM freshNet (latest)                               :    100 (   87,  13,   0),  93.5 :  +465.7,   7.9,  100.0

12) DCM - Qeu8e5                                  528.1 :   3600 (+1912,=758,-930),  63.6 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,   0,  99),   1.0 :  -791.9,  27.9,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   31,  18,  51),  40.0 :   -77.8,   6.8,    0.0
    DCM v5                                              :    100 (   27,  20,  53),  37.0 :   -75.7,   7.1,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   41,  10,  49),  46.0 :   -60.4,   6.9,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   32,  24,  44),  44.0 :   -48.9,   5.7,    0.0
    DCM Qeu8 (latest)                                   :    100 (   29,  21,  50),  39.5 :   -39.0,   6.6,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   30,  22,  48),  41.0 :   -33.8,   6.9,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   40,  22,  38),  51.0 :    -7.5,   6.2,   11.4
    DCM mini2b-3MIV-resume (latest)                     :    100 (   39,  21,  40),  49.5 :    -6.2,   6.8,   18.0
    DCM nT8Y-resume4 (latest)                           :    100 (   41,  18,  41),  50.0 :    -3.9,   6.9,   28.5
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   42,  24,  34),  54.0 :    +2.5,   6.8,   64.3
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   46,  28,  26),  60.0 :    +3.0,   6.6,   67.6
    DCM Qeu8e4 (latest)                                 :    100 (   36,  26,  38),  49.0 :    +9.7,   6.4,   93.5
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   32,  23,  45),  43.5 :   +12.7,   6.8,   97.0
    DCM nT8Y-resume2 (latest)                           :    100 (   39,  21,  40),  49.5 :   +21.0,   7.0,   99.9
    DCM Qeu8e2 (latest)                                 :    100 (   39,  30,  31),  54.0 :   +28.5,   7.1,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   47,  28,  25),  61.0 :   +29.0,   6.3,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   52,  25,  23),  64.5 :   +55.2,   6.3,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   55,  25,  20),  67.5 :   +65.2,   7.3,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   54,  15,  31),  61.5 :   +80.4,   6.1,  100.0
    DCM Qeu8e (latest)                                  :    100 (   60,  23,  17),  71.5 :  +146.1,   5.5,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   63,  15,  22),  70.5 :  +152.0,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   54,  21,  25),  64.5 :  +154.0,   6.1,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   59,  26,  15),  72.0 :  +193.7,   6.9,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   58,  26,  16),  71.0 :  +199.4,   6.7,  100.0
    DCM mini-YkKk (latest)                              :    100 (   70,  21,   9),  80.5 :  +222.6,   7.1,  100.0
    DCM T97X (latest)                                   :    100 (   72,  28,   0),  86.0 :  +346.5,   6.7,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   80,  20,   0),  90.0 :  +349.8,   6.0,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   81,  19,   0),  90.5 :  +372.1,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   84,  16,   0),  92.0 :  +383.9,   6.6,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   70,  30,   0),  85.0 :  +395.0,   8.2,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   72,  28,   0),  86.0 :  +395.3,   6.9,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   74,  26,   0),  87.0 :  +397.5,   6.6,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   87,  13,   0),  93.5 :  +460.4,   7.2,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   85,  15,   0),  92.5 :  +461.8,   7.4,  100.0
    DCM freshNet (latest)                               :    100 (   90,  10,   0),  95.0 :  +461.8,   7.3,  100.0

13) DCM v5_5block_7x7_lnout-wd5e4 (latest)        525.6 :   3700 (+1935,=842,-923),  63.7 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   0, 100),   0.0 :  -794.4,  28.6,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   24,  21,  55),  34.5 :   -80.3,   6.9,    0.0
    DCM v5                                              :    100 (   19,  24,  57),  31.0 :   -78.2,   6.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   36,  19,  45),  45.5 :   -62.9,   7.1,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   28,  30,  42),  43.0 :   -51.4,   6.9,    0.0
    DCM Qeu8 (latest)                                   :    100 (   28,  21,  51),  38.5 :   -41.5,   6.6,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   40,  24,  36),  52.0 :   -36.3,   7.2,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   34,  20,  46),  44.0 :   -10.0,   6.8,    7.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   51,  16,  33),  59.0 :    -8.7,   6.1,    7.8
    DCM nT8Y-resume4 (latest)                           :    100 (   42,  23,  35),  53.5 :    -6.4,   6.1,   14.5
    DCM - Qeu8e5                                        :    100 (   34,  24,  42),  46.0 :    -2.5,   6.8,   35.7
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   31,  23,  46),  42.5 :    +0.5,   6.7,   53.2
    DCM Qeu8e4 (latest)                                 :    100 (   33,  33,  34),  49.5 :    +7.2,   6.9,   85.1
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   40,  25,  35),  52.5 :   +10.2,   6.9,   92.9
    DCM nT8Y-resume2 (latest)                           :    100 (   41,  25,  34),  53.5 :   +18.5,   6.4,   99.8
    DCM Qeu8e2 (latest)                                 :    100 (   45,  21,  34),  55.5 :   +26.0,   6.4,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   34,  30,  36),  49.0 :   +26.5,   6.7,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   38,  25,  37),  50.5 :   +52.7,   6.6,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   46,  33,  21),  62.5 :   +62.8,   6.7,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   41,  31,  28),  56.5 :   +77.9,   6.8,  100.0
    DCM Qeu8e (latest)                                  :    100 (   53,  29,  18),  67.5 :  +143.6,   7.1,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   55,  35,  10),  72.5 :  +149.6,   7.1,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   55,  29,  16),  69.5 :  +151.5,   7.1,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    200 (  124,  56,  20),  76.0 :  +191.2,   6.3,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   61,  30,   9),  76.0 :  +197.0,   6.8,  100.0
    DCM mini-YkKk (latest)                              :    100 (   68,  31,   1),  83.5 :  +220.2,   6.4,  100.0
    DCM T97X (latest)                                   :    100 (   72,  26,   2),  85.0 :  +344.0,   6.5,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   85,  15,   0),  92.5 :  +347.4,   6.7,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   84,  16,   0),  92.0 :  +369.6,   7.3,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   86,  14,   0),  93.0 :  +381.4,   6.9,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   77,  23,   0),  88.5 :  +392.5,   8.2,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   83,  17,   0),  91.5 :  +392.8,   7.1,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   78,  22,   0),  89.0 :  +395.0,   7.5,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   92,   8,   0),  96.0 :  +458.0,   6.6,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   87,  13,   0),  93.5 :  +459.3,   7.1,  100.0
    DCM freshNet (latest)                               :    100 (   90,  10,   0),  95.0 :  +459.3,   7.8,  100.0

14) DCM nT8Y-fatconv-resume (latest)              525.0 :   3600 (+1874,=810,-916),  63.3 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   0, 100),   0.0 :  -795.0,  27.8,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   34,  20,  46),  44.0 :   -80.9,   7.9,    0.0
    DCM v5                                              :    100 (   30,  22,  48),  41.0 :   -78.7,   6.9,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   29,  24,  47),  41.0 :   -63.4,   7.5,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   22,  21,  57),  32.5 :   -51.9,   6.6,    0.0
    DCM Qeu8 (latest)                                   :    100 (   27,  24,  49),  39.0 :   -42.1,   6.7,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   22,  26,  52),  35.0 :   -36.8,   7.1,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   41,  17,  42),  49.5 :   -10.5,   6.3,    4.9
    DCM mini2b-3MIV-resume (latest)                     :    100 (   38,  21,  41),  48.5 :    -9.2,   6.6,    8.0
    DCM nT8Y-resume4 (latest)                           :    100 (   48,  18,  34),  57.0 :    -6.9,   6.7,   14.9
    DCM - Qeu8e5                                        :    100 (   26,  28,  46),  40.0 :    -3.0,   6.6,   32.4
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   46,  23,  31),  57.5 :    -0.5,   6.7,   46.8
    DCM Qeu8e4 (latest)                                 :    100 (   45,  16,  39),  53.0 :    +6.6,   6.4,   84.9
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   40,  24,  36),  52.0 :    +9.6,   6.5,   93.2
    DCM nT8Y-resume2 (latest)                           :    100 (   37,  27,  36),  50.5 :   +18.0,   6.8,   99.6
    DCM Qeu8e2 (latest)                                 :    100 (   43,  22,  35),  54.0 :   +25.5,   6.2,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   37,  23,  40),  48.5 :   +26.0,   6.8,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   40,  30,  30),  55.0 :   +52.2,   7.4,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   40,  39,  21),  59.5 :   +62.2,   6.6,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   50,  30,  20),  65.0 :   +77.3,   6.4,  100.0
    DCM Qeu8e (latest)                                  :    100 (   50,  37,  13),  68.5 :  +143.0,   6.7,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   58,  24,  18),  70.0 :  +149.0,   7.3,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   59,  31,  10),  74.5 :  +151.0,   5.9,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   59,  32,   9),  75.0 :  +190.7,   6.1,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   59,  31,  10),  74.5 :  +196.4,   6.3,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  37,   6),  75.5 :  +219.6,   6.9,  100.0
    DCM T97X (latest)                                   :    100 (   71,  29,   0),  85.5 :  +343.4,   7.0,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   81,  19,   0),  90.5 :  +346.8,   6.3,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   85,  15,   0),  92.5 :  +369.1,   6.5,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   86,  14,   0),  93.0 :  +380.9,   6.7,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   85,  15,   0),  92.5 :  +391.9,   8.1,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   74,  26,   0),  87.0 :  +392.3,   6.6,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   85,  15,   0),  92.5 :  +394.5,   7.3,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   88,  12,   0),  94.0 :  +457.4,   7.1,  100.0
