Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   45,  31,  24),  60.5 :  +133.0,   7.2,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   55,  26,  19),  68.0 :  +143.1,   8.3,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   61,  18,  21),  70.0 :  +158.2,   7.4,  100.0
    DCM Qeu8e (latest)                                  :    100 (   72,  23,   5),  83.5 :  +223.9,   6.7,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   64,  25,  11),  76.5 :  +229.9,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   74,  15,  11),  81.5 :  +231.8,   7.6,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   75,  20,   5),  85.0 :  +271.5,   7.3,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   77,  17,   6),  85.5 :  +277.3,   7.9,  100.0
    DCM mini-YkKk (latest)                              :    100 (   76,  19,   5),  85.5 :  +300.5,   8.0,  100.0
    DCM T97X (latest)                                   :    100 (   88,  12,   0),  94.0 :  +424.3,   6.9,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    138 (  119,  19,   0),  93.1 :  +427.7,   7.1,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   90,  10,   0),  95.0 :  +449.9,   7.7,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   87,  13,   0),  93.5 :  +461.7,   7.7,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   82,  18,   0),  91.0 :  +472.8,   8.4,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   83,  17,   0),  91.5 :  +473.1,   8.0,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   86,  14,   0),  93.0 :  +475.3,   7.7,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   91,   9,   0),  95.5 :  +538.3,   7.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   95,   5,   0),  97.5 :  +539.6,   7.7,  100.0
