step,pElo,nll
6625,478.997,15.08387
6650,517.441,14.85759
6676,583.333,7.02034
6701,596.493,7.61155
6725,606.123,6.16394
6751,595.681,8.96794
6776,539.408,9.90649
6801,580.822,7.30645
6826,576.605,14.24457
6851,604.532,9.97502
6876,610.867,8.63978
6900,620.992,10.43639
6925,584.167,6.18545
6950,456.194,15.72111
6975,507.464,15.81335
7001,494.056,16.51413
7026,391.647,16.66131
7050,629.404,15.04588
7075,571.491,12.377
7101,609.291,10.65631
7125,480.095,13.72587
7150,609.291,10.74428
7176,582.497,11.67241
7200,598.111,8.4127
7226,606.917,8.92961
7251,478.997,14.43298
7276,425.076,16.81329
7301,685.67,7.82882
7326,465.513,14.51108
7351,509.482,15.45507
7376,538.479,14.1975
7401,521.356,15.33041
7426,507.464,15.25708
7451,510.487,14.53885
7476,540.335,16.29987
7500,591.602,8.30072
7526,560.194,12.61424
7551,557.543,13.14556
7575,591.602,13.67145
7600,589.96,12.16341
7625,370.05,16.74208
7651,581.66,9.14565
7676,594.054,9.01777
7701,594.868,9.14547
7726,588.312,8.96447
7751,593.238,8.94669
7776,591.602,8.92058
7801,581.66,8.71543
7826,604.532,8.99629
7851,493.002,14.89462
7876,406.07,16.23143
7901,393.125,16.10019
7925,449.015,15.78148
7950,520.381,16.40509
7975,534.741,15.58412
8000,530.015,15.81105
8025,542.182,15.13523
8051,541.26,15.13208
8076,589.137,14.86127
8101,539.408,14.52842
8126,585.829,14.29985
8150,532.858,14.22604
8176,535.679,14.38853
8200,601.332,13.52462
8225,557.543,14.73797
8251,601.332,4.67742
8276,627.123,9.8209
8301,627.885,9.48583
8326,608.501,13.45206
8351,617.122,10.22285
8375,637.683,9.14479
8400,649.506,9.64483
8425,593.238,14.07035
8450,593.238,15.1904
8476,587.486,14.41417
8501,573.202,14.41286
8526,569.772,15.47263
8550,600.529,13.40123
8576,497.197,12.50719
8601,564.575,10.90624
8626,590.782,10.25194
8651,598.111,8.64913
8676,571.491,7.28896
8701,553.086,8.9214
8726,570.632,8.17944
8750,525.23,11.89122
8775,562.828,10.28963
8800,587.486,12.75808
8826,569.772,10.235
8851,655.325,12.78124
8876,512.488,10.79429
8900,589.96,5.94207
8925,603.734,7.5126
8950,581.66,5.93202
8976,499.275,12.10155
9000,596.493,10.02087
9026,552.188,9.14111
9051,511.489,9.52218
9075,522.328,7.12889
9100,525.23,6.45061
9117,538.479,15.60583
9125,538.479,15.6378
9151,522.328,14.31478
9176,547.671,15.09133
9201,556.655,14.93001
9226,466.659,14.87184
9251,411.632,15.8104
9276,382.608,15.58757
9301,483.369,15.78854
9326,471.2,15.76016
9351,388.668,15.14018
9375,358.536,14.4543
9401,485.534,13.36819
9425,508.475,13.34223
9450,589.137,9.51633
9476,472.326,7.55694
9501,408.865,11.10378
9526,519.404,9.42077
9550,453.82,8.3998
9576,689.791,8.6619
9600,552.188,8.82002
9625,418.434,11.94556
9650,451.427,15.48448
9675,426.386,14.56937
9700,540.335,13.46021
9726,545.85,11.17634
9751,541.26,13.95089
9775,619.447,11.01348
9800,519.404,10.26813
9826,559.312,13.76834
9851,553.981,14.46986
9876,583.333,11.53499
9900,462.051,15.85969
9926,525.23,14.01171
9951,554.874,13.26739
9976,453.82,15.79741
10001,475.678,10.45132
10026,439.171,16.03306
10050,512.488,10.93178
10076,522.328,10.05313
10100,451.427,9.70246
10126,411.632,9.90918
10151,445.361,14.91064
10175,360.213,16.43187
10201,397.508,13.38326
10225,368.436,13.76719
10250,415.733,15.42078
10276,401.823,15.55566
10301,366.813,17.01881
10325,428.988,13.00967
10351,330.037,16.06204
10375,388.668,13.84682
10401,427.69,16.34565
10426,355.148,15.72155
10450,533.8,9.88625
10476,585.829,12.61707
10500,574.907,7.42809
10525,587.486,7.66005
10551,671.742,7.98346
10576,610.867,7.68593
10601,435.394,16.19867
10626,449.015,14.28458
10650,407.471,16.56731
10676,411.632,15.36529
10701,428.988,15.72989
10726,471.2,16.04925
10751,363.534,16.72724
10776,566.314,11.60539
10801,426.386,14.96024
10826,534.741,13.24217
10850,346.471,15.4349
10875,368.436,14.70771
10901,487.685,9.37147
10925,585.829,6.68824
10950,467.8,9.3837
10976,497.197,9.53037
11001,530.015,14.30958
11025,453.82,9.71003
11051,488.755,8.4476
11076,407.471,15.63428
11101,533.8,8.64264
11125,478.997,14.13686
11151,407.471,13.55472
11176,404.661,13.08327
11201,474.565,12.78661
11226,437.917,16.83946
11250,466.659,14.26124
11275,468.938,15.02212
11301,390.162,16.86385
11325,396.055,16.95644
11351,360.213,17.22751
11375,351.713,15.17564
11401,445.361,13.11881
11426,604.532,12.4965
11451,487.685,11.89152
11476,384.136,16.92369
11501,569.772,14.01801
11525,410.252,16.80304
11551,504.416,15.14796
11575,490.885,16.48264
11600,558.428,12.86402
11626,385.655,14.56637
11651,462.051,10.8708
11675,552.188,14.09577
11701,468.938,13.16574
11726,633.936,12.54852
11751,425.076,15.77284
11775,384.136,15.90948
11801,545.85,10.53578
11826,487.685,10.5415
11850,486.611,11.88903
11876,507.464,8.3275
11901,512.488,13.68727
11926,456.194,7.40246
11950,418.434,12.11866
11975,495.106,8.0501
12001,391.647,13.04472
12026,546.762,10.927
12050,515.468,7.09587
12075,505.435,9.80768
12100,480.095,13.01939
12126,457.374,14.87184
12151,432.848,12.08996
12176,533.8,10.84593
12200,418.434,14.43487
12225,440.419,12.89013
12251,553.981,15.3046
12275,526.192,13.22138
12301,606.917,7.04525
12325,512.488,12.1187
12350,441.662,13.61508
12376,333.786,16.44391
12401,355.148,16.60148
12426,339.303,16.12359
12450,403.246,14.75374
12476,349.978,16.1538
12501,431.567,14.79936
12525,382.608,16.39829
12551,381.071,16.28275
12576,437.917,16.15732
12600,431.567,15.99789
12625,449.015,16.22173
12651,431.567,16.03092
12676,442.901,14.11476
12700,388.668,16.08156
12726,573.202,12.46033
12750,526.192,14.25041
12775,550.388,14.0199
12800,563.702,15.25216
12826,522.328,16.17709
12851,484.454,15.88086
12875,449.015,15.73091
12901,441.662,16.26995
12925,400.392,13.60007
12950,483.369,14.62024
12976,419.775,16.25372
13001,379.524,16.83849
13025,499.275,15.44757
13050,423.76,15.93502
13076,371.653,16.35179
13101,361.879,16.49194
13125,342.913,16.57395
13150,391.647,16.51348
13176,349.978,17.17087
13200,328.14,17.03564
13226,403.246,16.00704
13251,417.087,16.86943
13276,396.055,16.83125
13300,542.182,15.48186
13325,557.543,14.59378
13351,575.757,14.68339
13375,559.312,14.30169
13400,562.828,10.61866
13425,495.106,15.44588
13450,595.681,13.79949
13475,547.671,13.24466
13500,520.381,10.75804
13525,511.489,12.02165
13550,458.55,14.06014
13575,376.404,15.76863
13600,456.194,14.68555
13625,528.108,14.05142
13650,456.194,12.99978
13675,649.506,13.98474
13700,588.312,13.79055
13725,776.973,12.7725
13750,780.039,12.46117
13775,618.674,12.57433
13800,664.659,12.5241
13825,622.532,13.72738
13850,623.3,13.20682
