step,pElo,nll
6702,567.181,3.80565
6726,546.762,3.83458
6752,574.056,3.82174
6777,577.452,3.80961
6801,560.194,3.87063
6827,575.757,3.83505
6852,548.579,3.90139
6877,551.289,3.89117
6900,556.655,3.89878
6926,543.102,3.88337
6951,561.952,3.83398
6977,556.655,3.84357
7000,565.445,3.84016
7027,558.428,3.80755
7052,552.188,3.83876
7077,553.086,3.81368
7102,554.874,3.8553
7127,556.655,3.83438
7151,563.702,3.82133
7177,564.575,3.82468
7201,545.85,3.87705
7226,568.91,3.85057
7252,558.428,3.80717
7276,568.047,3.81337
7302,564.575,3.84662
7325,544.936,3.88813
7351,535.679,3.97956
7377,553.086,3.86271
7400,564.575,3.8746
7426,568.047,3.81655
7451,573.202,3.84964
7477,566.314,3.84329
7500,566.314,3.86439
7526,569.772,3.83321
7552,562.828,3.8393
7576,565.445,3.79336
7602,571.491,3.81874
7626,576.605,3.79788
7652,569.772,3.82909
7676,570.632,3.86994
7702,575.757,3.84602
7726,536.615,3.98729
7750,598.111,3.71874
7777,599.725,3.75362
7801,584.999,3.77727
7825,579.14,3.79863
7852,591.602,3.79223
7876,574.056,3.85737
7901,561.074,3.92619
7927,574.056,3.84457
7951,566.314,3.87158
7976,567.181,3.82244
8000,557.543,3.87718
8027,567.181,3.86575
8051,571.491,3.86208
8077,566.314,3.85341
8102,575.757,3.78096
8126,588.312,3.78607
8152,579.14,3.8296
8176,581.66,3.82841
8202,513.484,4.09062
8225,583.333,3.76411
8251,579.14,3.75773
8276,579.982,3.74274
8302,579.14,3.76364
8326,572.347,3.78808
8351,573.202,3.83466
8376,564.575,3.87471
8402,627.885,3.77923
8425,679.44,3.56742
8451,653.15,3.59789
8477,639.175,3.6424
8500,633.183,3.67974
8527,604.532,3.71657
8552,595.681,3.72132
8576,592.421,3.73848
8602,583.333,3.76455
8626,582.497,3.78067
8651,595.681,3.74527
8676,585.829,3.77018
8702,602.935,3.74785
8726,599.725,3.7462
8750,602.134,3.76659
8777,593.238,3.73947
8802,605.328,3.70637
8827,602.134,3.73397
8851,608.501,3.7298
8876,586.659,3.74758
8902,608.501,3.70165
8926,615.566,3.69723
8951,593.238,3.73829
8976,594.054,3.69879
9000,604.532,3.70299
9027,614.786,3.70848
9052,624.067,3.66373
9076,614.786,3.69151
9101,598.919,3.71466
9126,606.123,3.72565
9151,597.303,3.71952
9176,599.725,3.76009
9201,596.493,3.74038
9225,602.134,3.70639
9251,608.501,3.732
9275,598.111,3.72339
9302,633.936,3.66586
9326,614.786,3.6869
9351,603.734,3.72789
9376,606.917,3.70902
9402,600.529,3.71822
9425,597.303,3.72581
9450,594.054,3.72378
9476,613.222,3.72259
9502,603.734,3.70318
9526,602.935,3.72753
9551,614.786,3.697
9576,597.303,3.76083
9600,604.532,3.73704
9626,590.782,3.7319
9650,599.725,3.71475
9675,575.757,3.75863
9700,576.605,3.76308
9727,586.659,3.75998
9750,589.96,3.74772
9777,586.659,3.77798
9802,571.491,3.78633
9825,575.757,3.7735
9851,600.529,3.74298
9877,598.111,3.7685
9902,505.435,4.46452
9927,602.935,3.72814
9952,603.734,3.74078
9977,598.111,3.7273
10000,596.493,3.73713
10026,567.181,3.8192
10051,607.71,3.72418
10076,599.725,3.74321
10101,611.653,3.74717
10125,594.054,3.78157
10151,587.486,3.75046
10176,598.111,3.74411
10201,603.734,3.76024
10227,585.829,3.75155
10251,529.063,4.14768
10276,592.421,3.78046
10302,601.332,3.78894
10325,603.734,3.76405
10351,590.782,3.74747
10377,569.772,3.81622
10402,553.086,3.84467
10427,550.388,3.90235
10452,591.602,3.79391
10476,572.347,3.84101
10501,577.452,3.79895
10525,487.685,6.60229
10552,598.111,3.86829
10576,611.653,3.77592
10601,614.005,3.78585
10627,610.867,3.80356
10652,606.917,3.76624
10676,598.111,3.78118
10700,601.332,3.80155
10727,601.332,3.83046
10751,595.681,3.82492
10777,591.602,3.83005
10800,598.919,3.82549
10825,598.919,3.82453
10851,602.935,3.82281
10876,603.734,3.81401
10901,590.782,3.85652
10925,600.529,3.83504
10952,602.134,3.7988
10976,591.602,3.79558
11001,598.111,3.78913
11026,599.725,3.78641
11052,601.332,3.74315
11075,593.238,3.76546
11101,602.935,3.78863
11126,595.681,3.79822
11152,575.757,3.92379
11176,665.371,5.25306
11200,609.291,4.09113
11227,647.308,3.84976
11252,636.188,3.78884
11276,616.344,3.7624
11300,624.833,3.73981
11327,607.71,3.72608
11350,596.493,3.7403
11375,595.681,3.75348
11401,599.725,3.7506
11425,590.782,3.78017
11452,590.782,3.80003
11477,608.501,3.77664
11500,600.529,3.79774
11525,597.303,3.78843
11551,604.532,3.7948
11577,586.659,3.79301
11601,512.488,4.40462
11626,553.981,3.95135
11651,579.14,3.8595
11675,584.167,3.78924
11701,605.328,3.77466
11726,599.725,3.77435
11751,600.529,3.78349
11777,601.332,3.74448
11801,611.653,3.73091
11827,611.653,3.72139
11851,609.291,3.73607
11877,586.659,3.75172
11901,607.71,3.72494
11927,598.919,3.73281
11952,612.438,3.7831
11976,610.867,3.76075
12000,599.725,3.79529
12027,609.291,3.76695
12052,599.725,3.78491
12076,573.202,4.34985
12100,572.347,3.86192
12127,589.96,3.82022
12152,591.602,3.84087
12176,585.829,3.83363
12200,595.681,3.81494
12226,589.137,3.81983
12251,584.999,3.83547
12277,593.238,3.82763
12302,590.782,3.79981
12326,594.054,3.84331
12352,584.999,3.84368
12376,588.312,3.85491
12400,638.43,3.72134
12426,642.887,3.75757
12451,629.404,3.75551
12475,626.361,3.72325
12502,627.885,3.74808
12526,630.162,3.69747
12551,627.885,3.70364
12576,610.867,3.75744
12600,608.501,3.74096
12627,605.328,3.77571
12652,589.96,3.77974
12676,594.868,3.75255
12701,589.137,3.79282
12727,590.782,3.78877
12751,589.96,3.82266
12776,579.982,3.80836
12800,579.14,3.7834
12826,580.822,3.78998
12851,582.497,3.78016
12875,594.054,3.81108
12901,539.408,4.68178
12927,566.314,3.85021
12951,594.054,3.76917
12975,606.123,3.77234
13001,606.917,3.79656
13027,604.532,3.74013
13051,617.898,3.71049
13076,605.328,3.74118
13102,606.123,3.77885
13127,593.238,3.75593
13152,580.822,3.78284
13175,574.907,3.79691
13200,596.493,3.86122
13225,555.766,3.87036
13250,558.428,3.84796
13276,562.828,3.87549
13301,547.671,3.94945
13326,536.615,4.00128
13351,693.205,3.69916
13375,640.663,3.60026
13402,570.632,4.03281
13427,580.822,3.78802
13452,603.734,3.75953
13476,602.134,3.78369
13502,610.867,3.78652
13526,602.935,3.78754
13551,617.898,3.78753
13575,605.328,3.83813
13601,601.332,3.83101
13626,610.867,3.80374
13650,600.529,3.81797
13677,606.917,3.82233
13701,617.122,3.82887
13726,600.529,3.84405
13750,601.332,3.83503
13775,598.111,3.84022
13802,584.999,3.85465
13827,602.935,3.83531
13850,604.532,3.82707
13877,609.291,3.81358
13901,617.898,3.77471
13926,628.645,3.78087
13951,614.005,3.81605
13975,625.597,3.78497
14002,613.222,3.79348
14027,614.786,3.80329
14051,611.653,3.81402
14076,611.653,3.78834
14101,603.734,3.82324
14125,598.111,3.85166
14150,597.303,3.82712
14175,623.3,3.76088
14200,610.867,3.81479
14227,614.786,3.81271
14252,606.123,3.85886
14275,609.291,3.91737
14300,598.111,3.83155
14327,603.734,3.79798
14352,624.067,3.78449
14377,619.447,3.79498
14402,607.71,3.77044
14426,601.332,3.77657
14450,612.438,3.77913
14477,612.438,3.78878
14502,609.291,3.81587
14527,606.917,3.81249
14552,617.122,3.78428
14577,617.898,3.78503
14601,626.361,3.7902
14625,600.529,3.8447
14650,599.725,3.84386
14677,605.328,3.83178
14702,602.935,3.84489
14726,603.734,3.83499
14752,600.529,3.84154
14776,603.734,3.84988
14802,601.332,3.84289
14825,606.917,3.8387
14851,592.421,3.87691
14875,606.917,3.83143
14901,607.71,3.83885
14926,607.71,3.83738
14952,598.111,3.8318
14976,589.96,3.8727
15002,602.935,3.82762
15026,607.71,3.87534
15051,621.762,3.81007
15076,609.291,3.82718
15101,609.291,3.81429
15125,602.134,3.84501
15152,603.734,3.8697
15176,606.123,3.83395
15200,606.123,3.81896
15225,608.501,3.83059
15251,604.532,3.86558
15277,618.674,3.83531
15301,614.786,3.84591
15327,608.501,3.8635
15350,606.917,3.83143
15376,605.328,3.84839
15402,602.134,3.84737
15425,609.291,3.86491
15451,611.653,3.86948
15476,622.532,3.80494
15500,607.71,3.8798
15527,630.162,3.84079
15551,639.92,3.82303
