step,pElo,nll
6778,562.828,5.00835
6801,571.491,4.1369
6825,551.289,5.85101
6851,579.14,3.35135
6878,595.681,4.73515
6902,570.632,3.8766
6925,579.14,3.67615
6952,581.66,3.43142
6976,576.605,3.49031
7002,562.828,6.36693
7026,579.14,3.29415
7052,579.14,3.40959
7076,575.757,3.52461
7100,560.194,11.43073
7127,555.766,7.71566
7150,579.14,7.00629
7177,580.822,3.4128
7200,572.347,4.79876
7227,538.479,11.18609
7250,553.981,8.48225
7277,596.493,5.65466
7300,584.999,3.30769
7327,580.822,3.25262
7351,600.529,4.21337
7377,574.907,5.27952
7401,571.491,5.05516
7427,577.452,3.9217
7450,575.757,7.64542
7477,581.66,3.35199
7501,584.167,9.98091
7527,578.297,3.56489
7551,498.237,11.54998
7577,578.297,3.42448
7600,414.373,11.02354
7627,581.66,3.36713
7651,512.488,7.96186
7677,580.822,3.25262
7700,530.965,9.09723
7727,578.297,3.32594
7750,582.497,5.66926
7777,581.66,5.97137
7801,525.23,8.65158
7827,577.452,4.85426
7851,561.952,4.86381
7877,569.772,6.36685
7901,558.428,4.71498
7927,586.659,3.73375
7951,447.802,15.28397
7977,544.02,7.73849
8001,545.85,4.57016
8028,568.91,4.45831
8051,523.298,8.8195
8078,543.102,6.69205
8102,571.491,5.58613
8125,584.167,4.14684
8152,578.297,3.59109
8176,574.907,3.64341
8202,463.209,10.4529
8226,576.605,4.05308
8252,567.181,6.39103
8276,571.491,5.13265
8301,544.02,10.94518
8325,529.063,8.96272
8352,580.822,3.27973
8376,556.655,6.38831
8402,526.192,9.81321
8426,533.8,8.04856
8452,560.194,6.89008
8476,557.543,7.82041
8502,407.471,14.9794
8526,574.907,4.08994
8552,551.289,7.06875
8576,579.982,3.39235
8602,584.999,3.97721
8626,543.102,5.73747
8652,571.491,4.76347
8676,553.981,5.92379
8702,548.579,6.94617
8726,570.632,4.61286
8752,552.188,4.96057
8776,572.347,4.1103
8802,541.26,10.86086
8826,561.952,5.34538
8852,578.297,3.34565
8876,575.757,3.97691
8902,541.26,14.36655
8926,584.999,5.73995
8952,576.605,4.00808
8976,582.497,4.60833
9002,553.086,5.95739
9026,579.982,3.30652
9052,582.497,3.47752
9076,580.822,3.3628
9102,547.671,9.04147
9125,583.333,3.68161
9152,580.822,3.26947
9176,554.874,5.38005
9202,577.452,4.56974
9225,564.575,8.39834
9252,567.181,4.94312
9275,543.102,8.83747
9302,576.605,4.1874
9328,580.822,5.43242
9351,595.681,8.99024
9377,578.297,3.35945
9403,584.167,3.92943
9426,572.347,4.05784
9453,579.14,3.3304
9476,558.428,6.12894
9503,560.194,5.68995
9526,570.632,3.8968
9553,572.347,6.83301
9576,576.605,3.95515
9603,574.056,3.71278
9626,583.333,4.00562
9652,575.757,5.01572
9675,553.981,6.09912
9702,543.102,10.86558
9726,579.982,3.27346
9752,560.194,7.86851
9776,576.605,3.83403
9802,568.91,6.37389
9825,579.982,3.83489
9852,523.298,7.66619
9875,578.297,3.42529
9902,580.822,3.2593
9926,581.66,3.51525
9952,430.28,14.94062
9976,583.333,3.6124
10002,559.312,11.39298
10026,566.314,6.00258
10052,494.056,11.43498
10076,569.772,4.91602
10102,525.23,9.93101
10126,552.188,5.87554
10152,560.194,5.49224
10176,568.047,4.29754
10202,581.66,3.92701
10226,567.181,5.52481
10252,568.047,4.54367
10276,579.14,3.48526
10302,547.671,6.1611
10326,574.056,3.83574
10352,533.8,9.85673
10376,567.181,4.57861
10402,570.632,4.55301
10426,577.452,3.85455
10453,567.181,4.1385
10476,568.91,4.50404
10503,570.632,4.64773
10527,577.452,3.70351
10550,594.054,10.20791
10577,571.491,3.96748
10601,577.452,3.55259
10627,570.632,4.13452
10651,551.289,11.01254
10678,584.167,3.6855
10701,517.441,9.75217
10728,575.757,5.07162
10752,560.194,6.12512
10775,563.702,4.67679
10802,521.356,8.73258
10825,577.452,3.84455
10852,580.822,4.4958
10875,580.822,3.28938
10901,523.298,8.52803
10925,583.333,3.5996
10951,553.086,8.49286
10978,578.297,4.20573
11001,551.289,7.09689
11025,560.194,4.5858
11051,530.015,14.2771
11075,581.66,3.48151
11102,579.14,3.48114
11125,577.452,3.80241
11151,527.151,12.59061
11175,549.484,4.95025
11202,482.282,14.03105
11225,580.822,3.36946
11252,569.772,9.16907
11275,583.333,3.55333
11302,579.982,3.30341
11325,580.822,3.41032
11352,570.632,4.00784
11376,571.491,4.06522
11402,568.047,12.26593
11426,568.91,4.32651
11452,545.85,9.6501
11476,574.056,4.4119
11502,578.297,5.25802
11526,581.66,3.61566
11552,575.757,4.14445
11576,579.982,5.32355
11602,569.772,6.0779
11626,588.312,3.3021
11653,580.822,3.25262
11676,574.056,4.41527
11703,511.489,8.89945
11726,582.497,3.36264
11753,583.333,4.09462
11777,567.181,5.19437
11800,570.632,4.13035
11827,579.982,3.39205
11850,531.912,14.79135
11877,580.822,3.25262
11901,580.822,4.3721
11927,543.102,5.87348
11951,584.999,3.74185
11977,580.822,3.27278
12001,564.575,5.29917
12027,580.822,3.25262
12051,530.965,12.97725
12077,577.452,4.60197
12101,582.497,3.47853
12128,579.982,3.33331
12151,582.497,7.74246
12178,563.702,5.19041
12200,574.056,5.18854
12227,580.822,3.38533
12251,576.605,3.53592
12277,579.982,3.58565
12301,580.822,3.25262
12327,574.056,4.2101
12351,548.579,12.48516
12377,568.91,5.09957
12401,579.982,3.46862
12427,577.452,3.80211
12451,561.952,5.48893
12477,574.907,5.53784
12501,553.086,6.84819
12527,574.907,3.77897
12551,532.858,13.43629
12577,548.579,7.00145
12601,554.874,7.53988
12627,583.333,3.48798
12651,586.659,7.13642
12678,581.66,3.94332
12701,561.952,9.73875
12727,599.725,4.67114
12751,579.14,15.23536
12777,552.188,8.2418
12801,535.679,15.61208
12828,580.822,3.25262
12851,568.91,12.6612
12875,572.347,4.53178
12901,563.702,13.69717
12928,582.497,3.77407
12952,574.907,3.87502
12975,579.982,3.69994
13002,571.491,4.44467
13026,573.202,3.60219
13052,571.491,7.00285
13076,580.822,3.41923
13102,538.479,9.28391
13126,578.297,3.63275
13152,556.655,9.11384
13176,577.452,3.75627
13202,565.445,5.82731
13226,581.66,3.30043
13252,568.047,8.52653
13276,579.982,3.49733
13302,569.772,4.45234
13326,573.202,3.623
13353,506.451,12.11701
13376,568.047,4.15455
13400,532.858,15.47574
13426,575.757,3.74571
13453,560.194,9.55497
13476,579.14,3.44433
13502,564.575,6.57252
13526,573.202,5.03967
13552,539.408,8.28169
13576,548.579,5.64581
13602,552.188,15.96133
13626,582.497,4.99908
13652,545.85,15.85497
13676,574.056,4.26995
13702,584.167,7.26746
13726,575.757,3.47557
13752,568.91,5.20158
13776,579.982,3.72245
13802,540.335,11.27194
13826,579.982,3.44463
13852,561.074,6.65782
13876,580.822,3.25262
13902,579.982,3.31783
13926,579.982,3.43005
13952,512.488,11.99293
13976,579.14,3.3938
14003,559.312,6.34809
14026,581.66,3.52188
14053,573.202,4.67642
14076,561.952,9.086
14103,581.66,13.72424
14126,579.14,4.7172
14153,579.982,4.15177
14176,598.111,5.22649
14203,578.297,3.99009
14226,509.482,12.95139
14253,515.468,9.85114
