step,pElo,nll
6702,558.428,3.73283
6726,569.772,3.73225
6751,567.181,3.76152
6777,550.388,3.77701
6803,546.762,3.78628
6826,527.151,3.80422
6852,568.91,3.72843
6876,530.965,3.82881
6902,519.404,3.7788
6928,546.762,3.7622
6952,552.188,3.70036
6978,536.615,3.78195
7001,551.289,3.76863
7027,508.475,3.77453
7051,511.489,3.84456
7077,532.858,3.75484
7100,478.997,3.83917
7126,509.482,3.75112
7153,552.188,3.68731
7176,576.605,3.68438
7202,542.182,3.75796
7226,553.086,3.72788
7252,561.952,3.68165
7276,544.02,3.76302
7302,546.762,3.71925
7328,525.23,3.71985
7351,567.181,3.70857
7377,541.26,3.75616
7400,535.679,3.78842
7426,547.671,3.76448
7453,552.188,3.74018
7476,545.85,3.81787
7502,531.912,3.80491
7525,543.102,3.77052
7552,576.605,3.732
7578,543.102,3.74757
7601,516.456,3.75731
7627,532.858,3.81244
7651,485.534,3.9556
7677,488.755,3.87485
7703,495.106,3.86639
7726,548.579,3.87811
7753,531.912,3.81208
7776,521.356,3.86217
7802,534.741,3.87599
7826,536.615,3.79787
7852,548.579,3.82006
7876,556.655,3.72377
7902,543.102,3.77921
7926,533.8,3.77199
7951,543.102,3.72555
7976,570.632,3.65458
8000,547.671,3.73499
8025,561.952,3.67114
8050,538.479,3.68044
8076,512.488,3.72848
8101,571.491,3.6467
8126,534.741,3.73431
8152,530.965,3.70871
8178,553.086,3.67248
8201,544.02,3.68998
8227,550.388,3.65386
8250,533.8,3.69143
8276,553.981,3.64653
8302,567.181,3.69991
8325,563.702,3.67221
8351,535.679,3.71699
8377,541.26,3.71481
8402,540.335,3.72482
8426,580.822,3.68977
8452,555.766,3.70993
8478,567.181,3.70859
8502,529.063,3.72348
8528,531.912,3.78241
8551,522.328,3.77341
8577,550.388,3.71431
8600,541.26,3.7192
8626,549.484,3.7027
8652,563.702,3.71658
8676,544.936,3.72793
8702,563.702,3.69821
8728,553.086,3.73484
8752,561.952,3.718
8778,568.91,3.71263
8801,569.772,3.71646
8827,545.85,3.74147
8853,544.936,3.73735
8876,556.655,3.70521
8902,547.671,3.70693
8926,553.981,3.71577
8952,552.188,3.71126
8975,575.757,3.70859
9002,524.265,3.77517
9025,561.074,3.72501
9051,549.484,3.73246
9077,540.335,3.75559
9101,570.632,3.70626
9127,553.086,3.72931
9153,544.936,3.70056
9177,566.314,3.73213
9203,571.491,3.6932
9226,600.529,3.68412
9252,577.452,3.69904
9276,568.91,3.7251
9302,539.408,3.75036
9325,566.314,3.69645
9351,548.579,3.73718
9378,545.85,3.75278
9401,568.91,3.7008
9427,552.188,3.70999
9451,550.388,3.66993
9477,529.063,3.72297
9503,553.086,3.72808
9526,568.91,3.71643
9552,556.655,3.72576
9575,544.02,3.74939
9602,551.289,3.73664
9628,557.543,3.71329
9651,571.491,3.68429
9677,581.66,3.69864
9703,559.312,3.71812
9726,582.497,3.6804
9752,532.858,3.72507
9776,562.828,3.73293
9801,573.202,3.69329
9827,550.388,3.72836
9851,575.757,3.73186
9877,526.192,3.73669
9900,550.388,3.73268
9926,585.829,3.65728
9952,563.702,3.68418
9978,564.575,3.70151
10002,537.548,3.73332
10028,570.632,3.71896
10051,554.874,3.7306
10077,582.497,3.66538
10100,592.421,3.64253
10127,581.66,3.60317
10153,543.102,3.69067
10176,559.312,3.66298
10202,550.388,3.69897
10226,548.579,3.7018
10252,573.202,3.65689
10275,527.151,3.68081
10301,547.671,3.69491
10327,557.543,3.70367
10353,542.182,3.70552
10376,558.428,3.69376
10403,564.575,3.69996
10426,561.074,3.69193
10452,550.388,3.71486
10476,592.421,3.66767
10502,555.766,3.69703
10528,572.347,3.71774
10551,564.575,3.71755
10578,553.981,3.72536
10601,589.137,3.69112
10627,553.981,3.74155
10651,589.137,3.73605
10677,547.671,3.72431
10703,530.965,3.7164
10726,543.102,3.69848
10752,563.702,3.68422
10778,553.981,3.65952
10801,554.874,3.68041
10827,570.632,3.65896
10853,572.347,3.6584
10876,553.981,3.69621
10902,555.766,3.69866
10925,570.632,3.67818
10952,568.91,3.67425
10978,566.314,3.66775
11001,562.828,3.69141
11027,594.054,3.68868
11051,559.312,3.67204
11077,571.491,3.68091
11100,584.999,3.68873
11126,575.757,3.71655
11152,589.137,3.70544
11176,581.66,3.7132
11202,546.762,3.75499
11228,523.298,3.7563
11251,553.086,3.71917
11278,546.762,3.72124
11301,539.408,3.73337
11327,553.086,3.67087
11353,541.26,3.70291
11376,526.192,3.76385
11402,542.182,3.7268
11428,575.757,3.69831
11451,579.982,3.70382
11477,558.428,3.70746
11500,570.632,3.67344
11526,565.445,3.72809
11553,563.702,3.69318
11576,579.14,3.65936
11602,586.659,3.67681
11625,579.982,3.71353
11651,558.428,3.75634
11677,576.605,3.68202
11700,576.605,3.67894
11727,582.497,3.65757
11750,581.66,3.68562
11776,544.02,3.69032
11802,594.054,3.62086
11826,561.074,3.71524
11852,614.005,3.71764
11875,572.347,3.68312
11901,564.575,3.70754
11926,547.671,3.70242
11951,574.907,3.67977
11977,567.181,3.68881
12003,564.575,3.72374
12026,574.056,3.70951
12052,559.312,3.70655
12075,576.605,3.71634
12101,561.952,3.71103
12128,567.181,3.71147
12151,555.766,3.72377
12177,576.605,3.68634
12201,566.314,3.70687
12227,531.912,3.88216
12253,591.602,3.71826
12276,556.655,3.68211
12303,567.181,3.6351
12326,559.312,3.64517
12352,565.445,3.65772
12375,553.086,3.70218
12401,550.388,3.70138
12427,552.188,3.68065
12453,560.194,3.67111
12477,557.543,3.74455
12500,571.491,3.6713
12526,556.655,3.68459
12552,566.314,3.66256
12576,549.484,3.68725
12602,576.605,3.62104
12628,562.828,3.67548
12651,570.632,3.67377
12677,568.91,3.66527
12701,560.194,3.7041
12727,572.347,3.65524
12753,561.952,3.65971
12776,579.982,3.6559
12802,572.347,3.67293
12825,572.347,3.65986
12852,579.14,3.70092
12876,562.828,3.70085
12902,573.202,3.67849
12928,556.655,3.69192
12952,571.491,3.67124
12978,591.602,3.68157
13001,563.702,3.6799
13027,562.828,3.69776
13051,552.188,3.72006
13077,544.936,3.72053
13101,578.297,3.69502
13127,568.047,3.70149
13153,579.982,3.62994
13176,568.91,3.63683
13202,577.452,3.67212
13226,576.605,3.64026
13251,554.874,3.68901
13277,580.822,3.66237
13300,589.96,3.66168
13326,578.297,3.7148
13352,535.679,3.73368
13378,574.056,3.67514
13401,548.579,3.67389
13427,535.679,3.69047
13453,569.772,3.6613
13476,589.137,3.60998
13502,548.579,3.68125
13528,547.671,3.67534
13552,551.289,3.69681
13578,548.579,3.66526
13603,577.452,3.6376
13628,572.347,3.67152
13652,572.347,3.67696
13677,571.491,3.6606
13703,539.408,3.67913
13726,570.632,3.62535
13752,543.102,3.66971
13775,568.047,3.66919
13803,545.85,3.69048
13826,557.543,3.66581
13853,540.335,3.67062
13878,543.102,3.68641
13902,564.575,3.66187
13927,534.741,3.67331
13951,537.548,3.68434
13977,547.671,3.69857
14001,569.772,3.63779
14027,512.488,3.69436
14052,553.981,3.70457
14078,557.543,3.68234
14101,580.822,3.6311
14127,544.02,3.66936
14152,563.702,3.64351
14178,565.445,3.64683
14203,564.575,3.64788
14226,565.445,3.70434
14252,561.074,3.68136
14278,548.579,3.72137
14302,579.14,3.64602
14328,581.66,3.62202
14352,552.188,3.67025
14377,548.579,3.67646
14402,570.632,3.64785
14427,560.194,3.66433
14453,556.655,3.68734
14478,566.314,3.69056
14502,572.347,3.64556
14528,598.919,3.59011
14550,581.66,3.64771
