step,pElo,nll
6702,634.688,3.75076
6727,634.688,3.75942
6751,634.688,3.74197
6776,641.405,3.74351
6801,633.183,3.77954
6826,641.405,3.75949
6851,644.364,3.74472
6875,638.43,3.80468
6902,629.404,3.78811
6927,645.838,3.75835
6951,645.102,3.74466
6976,643.626,3.72699
7002,640.663,3.69626
7027,647.308,3.70917
7052,630.162,3.72519
7077,632.43,3.7059
7102,626.361,3.72234
7127,628.645,3.74829
7152,633.183,3.74473
7177,637.683,3.75945
7202,647.308,3.72568
7226,656.048,3.75623
7251,643.626,3.76878
7276,651.695,3.74305
7300,627.885,3.7721
7327,651.695,3.73999
7352,644.364,3.7852
7377,638.43,3.77928
7402,646.574,3.71063
7426,645.102,3.71896
7451,648.774,3.73629
7477,650.236,3.72001
7502,643.626,3.75471
7526,650.966,3.71331
7550,646.574,3.72905
7575,642.887,3.72308
7600,640.663,3.74428
7625,636.188,3.74912
7650,645.102,3.72511
7677,648.774,3.72317
7702,651.695,3.74799
7725,642.146,3.75233
7751,662.518,3.73639
7776,649.506,3.72271
7800,646.574,3.7558
7826,636.936,3.74071
7850,630.162,3.76127
7876,628.645,3.74111
7901,634.688,3.72904
7926,657.492,3.7033
7950,628.645,3.70803
7976,636.936,3.72722
8002,642.146,3.69073
8025,645.838,3.69024
8051,627.123,3.72901
8076,638.43,3.69434
8102,642.887,3.69636
8126,639.175,3.69865
8150,619.447,3.762
8176,628.645,3.7381
8202,623.3,3.77664
8226,639.92,3.75636
8251,645.838,3.70871
8276,649.506,3.72469
8302,647.308,3.71141
8326,656.048,3.70685
8351,655.325,3.73382
8376,645.102,3.71995
8401,653.876,3.71142
8426,646.574,3.73107
8451,647.308,3.70585
8477,631.675,3.72868
8501,633.936,3.74383
8527,620.22,3.79718
8551,635.438,3.75014
8576,646.574,3.71188
8602,652.423,3.69439
8627,633.183,3.74854
8651,621.762,3.76708
8676,628.645,3.78916
8702,650.966,3.73156
8727,641.405,3.72642
8750,642.887,3.73435
8776,643.626,3.72982
8801,663.233,3.71771
8827,652.423,3.71887
8851,656.048,3.70171
8876,663.946,3.70827
8901,645.838,3.73913
8925,647.308,3.70412
