step,pElo,nll
196378,816.143,3.22546
196403,817.326,3.24822
196428,817.918,3.25976
196450,796.435,3.26401
196476,814.958,3.24045
196502,819.69,3.20058
196527,797.037,3.22703
196553,810.802,3.27724
196576,818.509,3.2201
196602,822.639,3.21568
196628,812.585,3.23865
196653,814.365,3.29651
196676,814.365,3.28295
196701,833.195,3.27756
196727,799.443,3.27563
196752,815.551,3.25321
196777,808.42,3.24611
196802,814.365,3.19819
196827,829.1,3.22075
196852,813.772,3.21666
196878,802.443,3.22591
196903,804.24,3.27243
196926,813.178,3.25361
196951,801.244,3.29431
196976,811.991,3.28436
197001,804.24,3.27987
197026,798.241,3.29858
197051,813.178,3.23807
197077,804.24,3.29187
197102,789.786,3.28541
197127,798.241,3.2531
197152,828.514,3.22238
197178,813.772,3.26937
197204,819.69,3.21447
197226,840.185,3.21104
197251,821.46,3.21845
197276,838.441,3.20361
197301,827.928,3.17675
197327,798.241,3.24732
197353,802.443,3.2157
197377,803.042,3.24434
197402,835.529,3.19084
197427,831.442,3.20375
197452,799.443,3.20357
197479,782.484,3.28031
197501,823.227,3.22875
197526,807.227,3.27652
197552,817.326,3.23336
197577,811.991,3.2251
197603,814.365,3.26476
197628,817.326,3.25199
197653,787.965,3.27718
197676,836.695,3.22402
197701,784.924,3.26404
197726,800.644,3.24987
197751,831.442,3.2361
197777,811.396,3.21488
197803,779.426,3.28018
197828,798.842,3.25111
197853,824.992,3.23748
197876,810.802,3.23112
197902,804.24,3.24022
197926,816.143,3.21368
197952,808.42,3.24865
197978,831.442,3.21199
198002,842.507,3.21254
198028,821.46,3.19894
198053,826.167,3.22393
198078,836.695,3.23247
198104,790.998,3.27183
198125,824.992,3.27288
198153,797.037,3.25844
198175,813.772,3.25991
198201,814.365,3.24555
198226,783.705,3.31836
198252,788.573,3.28155
198277,823.227,3.2122
198303,799.443,3.27657
198328,806.033,3.28092
198352,804.838,3.26326
198379,833.195,3.24878
198401,840.185,3.23777
198426,823.816,3.21961
198452,797.037,3.29972
198477,816.143,3.23328
198502,800.044,3.30348
198528,824.992,3.23386
198550,814.365,3.21335
198576,824.992,3.22707
198602,805.435,3.27312
198627,800.644,3.29311
198652,781.874,3.24311
198677,824.404,3.27666
198702,825.58,3.23409
198729,800.044,3.2354
198751,837.859,3.19239
198776,816.735,3.22096
198801,817.918,3.23253
198826,823.816,3.21957
198852,792.208,3.23945
198878,795.229,3.26176
198900,837.859,3.19779
198926,827.928,3.21433
198952,824.404,3.233
198977,811.991,3.21377
199003,807.823,3.21975
199028,823.227,3.21836
199053,821.46,3.19789
199076,820.281,3.22464
199102,822.639,3.24706
199127,829.1,3.23639
199153,828.514,3.24218
199177,793.418,3.29647
199203,812.585,3.24727
199226,786.75,3.26372
199251,794.625,3.24267
199278,809.611,3.24973
199304,822.639,3.25648
199326,807.823,3.25231
199351,814.365,3.28008
199376,855.783,3.17652
199402,809.016,3.24767
199427,820.871,3.2621
199452,832.027,3.22856
199478,833.779,3.22052
199504,846.561,3.18172
199525,845.404,3.20302
199554,810.207,3.24642
199576,826.167,3.19643
199601,856.931,3.17605
199627,846.561,3.17398
199652,845.982,3.22879
199677,848.872,3.19518
199701,837.277,3.22838
199726,807.227,3.23601
199752,792.813,3.27497
199778,814.958,3.28762
199803,808.42,3.26778
199826,817.326,3.22114
199852,811.991,3.24863
199877,832.027,3.24068
199902,797.639,3.2525
199927,810.802,3.2685
199953,810.207,3.22636
199979,812.585,3.2642
200001,829.1,3.24852
200025,811.991,3.23604
200051,825.58,3.24078
200076,844.825,3.23253
200102,819.1,3.22944
200128,824.404,3.2195
200153,827.928,3.22036
200176,832.611,3.18998
200201,800.644,3.23777
200226,811.991,3.2457
200251,789.786,3.262
200276,813.772,3.23359
200302,805.435,3.26028
200328,813.772,3.25435
200353,804.24,3.26418
200378,810.802,3.26496
200403,797.037,3.27928
200428,813.772,3.23704
200454,810.207,3.22522
200478,800.644,3.2605
200503,823.227,3.19198
200526,821.46,3.22484
200551,809.611,3.22705
200577,808.42,3.23451
200602,824.404,3.24623
200626,827.341,3.24872
200651,817.918,3.25867
200677,831.442,3.26414
200703,806.033,3.29135
200728,808.42,3.29443
200752,837.277,3.21562
200778,794.625,3.23667
200802,805.435,3.22161
200826,806.033,3.23662
200851,795.229,3.25094
200877,813.178,3.2235
200902,828.514,3.20919
200928,798.241,3.23637
200953,813.772,3.2439
200978,816.735,3.24364
201001,808.42,3.28252
201026,795.229,3.27021
201052,798.241,3.2631
201078,829.1,3.23417
201102,826.167,3.22037
201127,812.585,3.25154
201152,826.755,3.23517
201177,816.735,3.24746
201204,814.958,3.21339
201226,836.112,3.23417
201252,827.928,3.23002
201277,821.46,3.23007
201303,814.365,3.25858
201329,804.838,3.27551
201351,803.042,3.23547
201378,809.611,3.27027
201402,810.207,3.26574
201428,830.857,3.20775
201453,812.585,3.24614
201478,811.396,3.27348
201503,814.958,3.25071
201526,806.033,3.25091
201550,805.435,3.24962
201579,813.772,3.24612
201603,809.611,3.24857
201628,834.946,3.2075
201651,817.326,3.23892
201676,792.813,3.30136
201702,810.802,3.24812
201727,819.69,3.27916
201753,812.585,3.24064
201779,832.611,3.24702
201801,808.42,3.22745
201827,823.816,3.21322
201852,801.844,3.23188
201877,794.625,3.24542
201902,800.644,3.22965
201927,800.644,3.22672
201952,832.611,3.20749
201977,808.42,3.24342
202002,819.69,3.24686
202027,827.341,3.24214
202053,816.143,3.24274
202078,819.69,3.24403
202103,790.392,3.29176
202127,794.625,3.2948
202153,825.58,3.24206
202178,827.928,3.22385
202203,822.639,3.22403
202226,836.695,3.18223
202252,826.755,3.24305
202277,786.142,3.29372
202301,822.05,3.24454
202327,829.686,3.22755
202353,801.844,3.24396
202379,797.037,3.26146
202401,808.42,3.24606
202425,810.207,3.22652
202451,837.859,3.18359
202476,803.042,3.21024
202501,800.044,3.2596
202527,800.044,3.26177
202551,840.766,3.22358
202578,819.69,3.25911
202602,796.435,3.28888
202628,803.641,3.27775
202652,821.46,3.25958
202677,803.641,3.27366
202703,804.838,3.28244
202726,814.365,3.27197
202751,834.363,3.22839
202776,797.639,3.29052
202801,813.772,3.24736
202826,839.023,3.21034
202851,821.46,3.25255
202876,801.244,3.24803
202901,831.442,3.22959
202926,820.871,3.19898
202952,804.24,3.1996
202976,836.112,3.22405
203002,817.918,3.18583
203027,804.838,3.28299
203052,800.644,3.26706
203078,791.603,3.24349
203102,808.42,3.26128
203127,795.832,3.26092
203151,791.603,3.27762
203176,828.514,3.21343
203203,780.651,3.26353
203227,822.05,3.23053
203252,799.443,3.21393
203277,817.918,3.21586
203303,835.529,3.17792
203328,799.443,3.24504
203353,803.641,3.20988
203375,817.918,3.20962
203403,796.435,3.24228
203426,834.363,3.23061
203451,806.63,3.28695
203477,797.639,3.26083
203502,809.016,3.22536
203527,806.033,3.22709
203553,813.772,3.23732
203576,839.604,3.17531
