step,pElo,nll,segment
45778,1653,1.989,2
46053,1723,1.885,2
46303,1706,2.009,2
46577,1679,2.001,2
46827,1706,1.995,2
47077,1641,2.081,2
47327,1703,1.953,2
47579,1627,2.065,2
47853,1704,1.918,2
48127,1680,1.983,2
48378,1678,1.990,2
48652,1583,2.164,2
48903,1643,1.949,2
49176,1646,2.121,2
49426,1640,2.024,2
49676,1644,1.994,2
49927,1687,1.995,2
50177,1738,1.887,2
50427,1668,1.941,2
50703,1710,2.001,2
50978,1636,2.089,2
51251,1649,2.023,2
51503,1664,2.029,2
51777,1643,2.097,2
52052,1700,1.936,2
52302,1629,2.048,2
52553,1661,2.078,2
52828,1656,2.071,2
53101,1715,1.971,2
53352,1703,1.955,2
53627,1710,1.949,2
53877,1647,2.060,2
54128,1713,1.893,2
54403,1679,2.022,2
54677,1643,2.131,2
54928,1695,1.978,2
55202,1644,2.043,2
55453,1678,1.973,2
55728,1701,1.927,2
56002,1626,2.135,2
56253,1680,1.989,2
56503,1711,1.986,2
56777,1693,1.958,2
57028,1665,2.005,2
57278,1691,1.984,2
57528,1690,1.956,2
57778,1671,2.059,2
58052,1670,1.986,2
58302,1646,2.090,2
58576,1727,1.961,2
58827,1710,1.929,2
59078,1703,2.032,2
59328,1643,2.029,2
59578,442,16.331,2
44196,1716,1.910,3
44452,1706,1.961,3
44727,1704,1.948,3
44978,1708,1.954,3
45228,1712,1.954,3
45502,1716,1.950,3
45752,1721,1.944,3
46003,1713,1.949,3
46253,1717,1.943,3
46527,1717,1.947,3
46802,1714,1.946,3
47053,1711,1.950,3
47303,1715,1.921,3
47553,1609,2.051,3
47803,1624,2.210,3
48077,1614,2.011,3
48352,1697,1.913,3
48602,1690,1.997,3
48852,1701,1.988,3
49102,1710,1.952,3
49352,1715,1.950,3
49602,1718,1.950,3
49852,1713,1.935,3
50127,1715,1.944,3
50378,1721,1.943,3
50652,1713,1.935,3
50927,1708,1.932,3
51177,1715,1.918,3
51451,1682,1.929,3
51702,1605,2.133,3
51953,748,3.976,3
52228,1649,2.010,3
52502,1660,2.077,3
52753,1668,1.985,3
53027,1691,1.963,3
53277,1693,1.950,3
53527,1694,1.941,3
53778,1690,1.947,3
54052,1699,1.941,3
54327,1692,1.943,3
54578,1696,1.943,3
54853,1695,1.955,3
55128,1694,1.957,3
55378,1679,1.973,3
55652,1673,1.984,3
55928,1605,2.126,3
56201,1685,1.975,3
56451,1665,2.035,3
56701,1628,2.017,3
56954,1705,1.963,3
57228,1708,1.938,3
57502,1708,1.933,3
57777,1708,1.933,3
58027,1708,1.932,3
58277,1707,1.935,3
58552,1702,1.940,3
58826,1712,1.936,3
59078,1714,1.945,3
59351,1700,1.961,3
59601,1474,2.490,3
59852,1594,2.183,3
60102,1681,2.043,3
60353,1642,2.018,3
60627,1679,1.981,3
60877,1708,1.905,3
61152,1706,1.948,3
61403,1704,1.950,3
61677,1708,1.949,3
61927,1708,1.952,3
62202,1709,1.952,3
62452,1707,1.947,3
62703,1709,1.942,3
62977,1707,1.948,3
63228,1703,1.947,3
63478,1656,2.069,3
63753,1593,2.132,3
64026,1524,2.204,3
64278,1673,2.063,3
64528,1583,2.104,3
64802,1704,1.938,3
65052,1713,1.940,3
65327,1711,1.926,3
65602,1710,1.933,3
65853,1706,1.929,3
66127,1708,1.930,3
66402,1711,1.930,3
66652,1709,1.928,3
66903,1712,1.926,3
67176,1708,1.947,3
67428,1682,1.939,3
67702,1616,2.102,3
67953,1252,2.653,3
68203,1593,2.107,3
68476,1576,2.075,3
68726,1693,1.973,3
68977,1689,1.998,3
69227,1694,1.959,3
69477,1699,1.956,3
69727,1699,1.955,3
69978,1699,1.956,3
70252,1694,1.955,3
70502,1696,1.956,3
70753,1690,1.960,3
71027,1695,1.958,3
71302,1714,1.948,3
71553,1520,2.228,3
71827,1686,2.017,3
72077,1687,1.967,3
72327,1667,2.007,3
72577,1535,2.174,3
72853,1685,1.980,3
73127,1702,1.956,3
73403,1703,1.952,3
73677,1702,1.950,3
73951,1704,1.955,3
74202,1702,1.958,3
74452,1704,1.955,3
74702,1708,1.964,3
74952,1698,1.958,3
75203,1701,1.958,3
75453,1639,1.998,3
75727,1602,2.108,3
76001,1421,2.431,3
76252,1583,2.132,3
76502,1511,2.199,3
76776,1669,1.973,3
77028,1690,1.962,3
77301,1680,1.964,3
77553,1683,1.963,3
77826,1686,1.962,3
78078,1684,1.964,3
78328,1684,1.964,3
78601,1690,1.965,3
78851,1686,1.963,3
79104,1684,1.964,3
79376,1683,1.958,3
79627,1693,1.959,3
79878,1688,1.958,3
80153,1695,1.938,3
80403,1699,1.967,3
80677,1698,1.955,3
80927,1710,1.950,3
81178,1707,1.946,3
81428,1705,1.944,3
81703,1707,1.948,3
81977,1709,1.944,3
82228,1707,1.949,3
82478,1712,1.946,3
82728,1709,1.947,3
83002,1711,1.944,3
83277,1701,1.940,3
83528,1698,1.976,3
83802,1709,1.954,3
84053,1710,1.944,3
84328,1699,1.970,3
84602,1715,1.943,3
84853,1708,1.953,3
